epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.66823,1.81681,8.2407,0.71204,3.05822,1.52269,0.93542,0.95477,0.96911,0.70471,0.00818,0.0402,0.00131,0.00013,0.87171,7.77679,0.71012,1.95166,0.88873,0.00028339,0.00028339,0.00028339
2,11.6083,1.19532,7.46277,0.6943,1.21275,1.04889,0.94484,0.9598,0.97791,0.72976,0.04282,0.0402,0.00401,0.0004,0.93744,7.48823,0.69543,0.88909,0.9129,0.000577674,0.000577674,0.000577674
3,15.5864,1.19141,6.76295,0.66111,1.03215,1.01334,0.94984,0.95148,0.98195,0.70561,0.14888,0.13568,0.03632,0.00438,1.0277,6.92375,0.67991,0.93919,0.94455,0.000866017,0.000866017,0.000866017
4,19.5277,1.13037,6.11539,0.66558,1.01677,1.02539,0.9617,0.96482,0.98436,0.7339,0.16732,0.1809,0.04631,0.00552,0.86952,6.30207,0.66912,0.82169,0.89087,0.00114842,0.00114842,0.00114842
5,24.6826,1.11179,5.83363,0.65138,0.89249,1.00306,0.97072,0.9997,0.9938,0.73902,0.39584,0.39196,0.19324,0.02533,0.86558,5.71751,0.65348,0.75581,0.89407,0.00142488,0.00142488,0.00142488
6,28.3767,1.12144,5.37526,0.62783,0.89879,0.99469,0.99284,1,0.991,0.74259,0.52353,0.52764,0.40069,0.06537,0.88247,5.19887,0.60928,0.75425,0.88403,0.00158448,0.00158448,0.00158448
7,32.0176,1.12151,5.02339,0.61537,0.85374,1.01564,0.99071,0.99497,0.99294,0.72647,0.65632,0.65257,0.47147,0.08531,0.87852,4.83553,0.58873,0.71271,0.89098,0.00156798,0.00156798,0.00156798
8,36.5398,1.07469,4.7078,0.59955,0.86014,1.01911,0.95629,0.98952,0.98848,0.74002,0.69055,0.71859,0.58355,0.12326,0.93378,4.55611,0.57111,0.7839,0.90069,0.00155148,0.00155148,0.00155148
9,40.8804,1.01106,4.43369,0.58455,0.7836,0.97805,0.98028,0.99928,0.99089,0.77108,0.79582,0.80905,0.74463,0.17496,0.80458,4.18714,0.53707,0.63916,0.87186,0.00153497,0.00153497,0.00153497
10,44.5871,0.96164,3.99573,0.55775,0.73525,0.97598,0.98029,0.99974,0.9945,0.7711,0.89069,0.90452,0.85545,0.21932,0.79884,3.66879,0.51512,0.58734,0.87765,0.00151847,0.00151847,0.00151847
